submission_id,submission_delay_hours,revision_count
SUB000849,25,7
SUB000850,11,3
SUB000851,19,0
SUB000852,20,3
SUB000853,16,3
SUB000854,14,1
SUB000855,23,2
SUB000856,14,1
SUB000857,15,3
SUB000858,19,3
SUB000859,25,1
SUB000860,18,0
SUB000861,16,2
SUB000862,6,0
SUB000863,23,4
SUB000864,29,3
SUB000865,16,1
SUB000866,22,3
SUB000867,16,4
SUB000868,11,0
SUB000869,11,1
SUB000870,25,0
SUB000871,16,0
SUB000872,10,1
SUB000873,25,2
SUB000874,22,2
SUB000875,14,1
SUB000876,20,1
SUB000877,16,1
SUB000878,16,2
SUB000879,10,2
SUB000880,16,1
SUB000881,30,1
SUB000882,20,1
SUB000883,25,5
SUB000884,14,4
SUB000885,20,3
SUB000886,6,2
SUB000887,17,3
SUB000888,9,7
SUB000889,22,2
SUB000890,21,0
SUB000891,20,4
SUB000892,21,1
SUB000893,23,1
SUB000894,24,2
SUB000895,19,3
SUB000896,19,2
SUB000897,21,2
SUB000898,24,1
SUB000899,11,1
SUB000900,13,2
SUB000901,4,2
SUB000902,17,2
SUB000903,5,1
SUB000904,20,0
SUB000905,14,3
SUB000906,20,2
SUB000907,7,3
SUB000908,17,4
SUB000909,12,1
SUB000910,11,4
SUB000911,0,1
SUB000912,10,1
SUB000913,14,1
SUB000914,1,1
SUB000915,18,1
SUB000916,18,3
SUB000917,14,0
SUB000918,18,3
SUB000919,23,2
SUB000920,2,3
SUB000921,4,3
SUB000922,15,3
SUB000923,5,2
SUB000924,-2,0
SUB000925,16,1
SUB000926,16,4
SUB000927,11,4
SUB000928,16,2
SUB000929,13,4
SUB000930,19,1
SUB000931,16,3
SUB000932,8,0
SUB000933,20,3
SUB000934,15,3
SUB000935,16,4
SUB000936,4,2
SUB000937,9,2
SUB000938,10,3
SUB000939,12,1
SUB000940,10,1
SUB000941,13,2
SUB000942,12,2
SUB000943,7,4
SUB000944,1,1
SUB000945,20,4
SUB000946,7,0
SUB000947,2,1
SUB000948,17,2
SUB000949,12,3
SUB000950,14,3
SUB000951,15,1
SUB000952,9,2
SUB000953,7,1
SUB000954,10,1
SUB000955,13,3
SUB000956,17,4
SUB000957,16,2
SUB000958,17,2
SUB000959,18,2
SUB000960,16,3
SUB000961,15,2
SUB000962,9,1
SUB000963,20,1
SUB000964,24,1
SUB000965,19,2
SUB000966,14,3
SUB000967,19,0
SUB000968,15,3
SUB000969,22,1
SUB000970,32,0
SUB000971,35,0
SUB000972,20,6
SUB000973,10,2
SUB000974,14,2
SUB000975,20,2
SUB000976,22,1
SUB000977,26,2
SUB000978,21,2
SUB000979,15,2
SUB000980,14,1
SUB000981,25,2
SUB000982,30,3
SUB000983,25,3
SUB000984,24,2
SUB000985,23,0
SUB000986,15,2
SUB000987,26,1
SUB000988,13,1
SUB000989,17,5
SUB000990,21,2
SUB000991,18,2
SUB000992,23,2
SUB000993,9,2
SUB000994,23,1
SUB000995,16,0
SUB000996,24,3
SUB000997,11,0
SUB000998,7,3
SUB000999,24,1
SUB001000,13,0
SUB001001,9,1
SUB001002,17,2
SUB001003,16,1
SUB001004,16,5
SUB001005,20,2
SUB001006,16,2
SUB001007,21,2
SUB001008,15,2
SUB001009,23,2
SUB001010,21,0
SUB001011,17,1
SUB001012,9,2
SUB001013,7,6
SUB001014,22,2
SUB001015,21,0
SUB001016,8,1
SUB001017,16,2
SUB001018,13,0
SUB001019,18,1
SUB001020,22,1
SUB001021,6,3
SUB001022,5,4
SUB001023,10,1
SUB001024,8,2
SUB001025,10,0
SUB001026,14,3
SUB001027,15,2
SUB001028,15,1
SUB001029,5,4
SUB001030,13,3
SUB001031,6,2
SUB001032,8,0
SUB001033,11,0
SUB001034,18,2
SUB001035,8,4
SUB001036,19,1
SUB001037,15,1
SUB001038,6,1
SUB001039,17,1
SUB001040,22,2
SUB001041,15,4
SUB001042,7,3
SUB001043,11,5
SUB001044,18,0
SUB001045,6,6
SUB001046,13,0
SUB001047,20,1
SUB001048,10,0
SUB001049,18,2
SUB001050,19,1
SUB001051,7,2
SUB001052,13,7
SUB001053,12,1
SUB001054,6,1
SUB001055,18,1
SUB001056,14,2
SUB001057,11,2
SUB001058,8,3
SUB001059,17,4
SUB001060,0,3
SUB001061,8,1
SUB001062,3,0
SUB001063,4,5
SUB001064,1,3
SUB001065,21,3
SUB001066,2,2
SUB001067,6,1
SUB001068,16,3
SUB001069,7,1
SUB001070,7,1
SUB001071,5,2
SUB001072,18,4
SUB001073,13,2
SUB001074,12,0
SUB001075,13,1
SUB001076,18,2
SUB001077,16,5
SUB001078,16,3
SUB001079,16,0
SUB001080,3,0
SUB001081,17,2
SUB001082,-8,4
SUB001083,0,3
SUB001084,2,1
SUB001085,4,1
SUB001086,21,4
SUB001087,4,3
SUB001088,10,4
SUB001089,6,1
SUB001090,12,2
SUB001091,17,1
SUB001092,-4,3
SUB001093,-2,0
SUB001094,12,1
SUB001095,6,0
SUB001096,-5,2
SUB001097,6,3
SUB001098,6,4
SUB001099,8,2
SUB001100,12,3
SUB001101,3,2
SUB001102,1,2
SUB001103,7,0
SUB001104,12,0
SUB001105,1,5
SUB001106,7,1
SUB001107,12,0
SUB001108,9,0
SUB001109,8,0
SUB001110,10,5
SUB001111,7,4
SUB001112,-2,5
SUB001113,0,6
SUB001114,6,3
SUB001115,4,2
SUB001116,3,1
SUB001117,11,6
SUB001118,-1,5
SUB001119,6,3
SUB001120,1,2
SUB001121,9,4
SUB001122,15,1
SUB001123,1,1
SUB001124,-2,4
SUB001125,6,3
SUB001126,10,3
SUB001127,2,5
SUB001128,6,1
SUB001129,12,2
SUB001130,-3,2
SUB001131,0,2
SUB001132,21,0
SUB001133,7,3
SUB001134,13,3
SUB001135,8,1
SUB001136,26,2
SUB001137,6,2
SUB001138,15,3
SUB001139,10,1
SUB001140,19,4
SUB001141,0,3
SUB001142,7,3
SUB001143,7,6
SUB001144,16,4
SUB001145,7,2
SUB001146,4,0
SUB001147,1,2
SUB001148,0,1
SUB001149,10,0
SUB001150,1,5
SUB001151,3,1
SUB001152,8,3
SUB001153,5,2
SUB001154,5,2
SUB001155,13,4
SUB001156,6,1
SUB001157,6,4
SUB001158,0,1
SUB001159,10,2
SUB001160,4,1
SUB001161,12,2
SUB001162,13,3
SUB001163,10,0
SUB001164,4,1
SUB001165,2,3
SUB001166,0,0
SUB001167,20,3
SUB001168,8,2
SUB001169,7,1
SUB001170,0,0
SUB001171,8,3
SUB001172,0,4
SUB001173,0,2
SUB001174,9,2
SUB001175,15,4
SUB001176,6,1
SUB001177,4,0
SUB001178,0,3
SUB001179,11,2
SUB001180,14,3
SUB001181,9,3
SUB001182,5,2
SUB001183,7,1
SUB001184,10,4
SUB001185,2,2
SUB001186,0,4
SUB001187,14,2
SUB001188,-1,0
SUB001189,-1,5
SUB001190,12,4
SUB001191,12,2
SUB001192,8,0
SUB001193,14,1
SUB001194,0,1
SUB001195,6,4
SUB001196,12,1
SUB001197,4,2
SUB001198,0,0
SUB001199,7,1
SUB001200,24,2
SUB001201,18,4
SUB001202,20,0
SUB001203,26,2
SUB001204,26,0
SUB001205,13,1
SUB001206,16,3
SUB001207,8,2
SUB001208,22,1
SUB001209,28,4
SUB001210,22,3
SUB001211,8,1
SUB001212,8,3
SUB001213,16,2
SUB001214,27,3
SUB001215,14,1
SUB001216,13,1
SUB001217,24,1
SUB001218,27,2
SUB001219,27,1
SUB001220,17,4
SUB001221,15,1
SUB001222,12,2
SUB001223,11,1
SUB001224,23,0
SUB001225,16,1
SUB001226,9,0
SUB001227,16,2
SUB001228,17,0
SUB001229,18,3
SUB001230,17,0
SUB001231,26,3
SUB001232,10,2
SUB001233,20,0
SUB001234,14,0
SUB001235,16,5
SUB001236,15,1
SUB001237,22,1
SUB001238,20,6
SUB001239,20,4
SUB001240,18,5
SUB001241,13,3
SUB001242,19,1
SUB001243,17,2
SUB001244,23,0
SUB001245,20,1
SUB001246,15,3
SUB001247,11,4
SUB001248,23,0
SUB001249,20,2
SUB001250,21,2
SUB001251,19,0
SUB001252,26,2
SUB001253,20,4
SUB001254,18,0
SUB001255,20,1
SUB001256,26,0
SUB001257,28,4
SUB001258,19,4
SUB001259,10,3
SUB001260,8,8
SUB001261,0,1
SUB001262,17,1
SUB001263,9,3
SUB001264,2,2
SUB001265,9,2
SUB001266,10,2
SUB001267,15,0
SUB001268,-1,2
SUB001269,8,1
SUB001270,11,4
SUB001271,3,3
SUB001272,-6,1
SUB001273,0,4
SUB001274,17,0
SUB001275,18,0
SUB001276,1,1
SUB001277,15,2
SUB001278,7,2
SUB001279,4,3
SUB001280,21,3
SUB001281,4,0
SUB001282,8,2
SUB001283,8,1
SUB001284,12,0
SUB001285,7,3
SUB001286,11,1
SUB001287,6,0
SUB001288,7,1
SUB001289,-1,0
SUB001290,11,0
SUB001291,11,4
SUB001292,1,4
SUB001293,8,1
SUB001294,4,5
SUB001295,10,1
SUB001296,9,1
SUB001297,10,5
SUB001298,6,2
SUB001299,22,3
SUB001300,0,4
SUB001301,12,2
SUB001302,11,0
SUB001303,1,1
SUB001304,14,1
SUB001305,12,4
SUB001306,15,6
SUB001307,6,3
SUB001308,-1,1
SUB001309,4,4
SUB001310,14,0
SUB001311,14,0
SUB001312,2,2
SUB001313,9,2
SUB001314,3,1
SUB001315,13,2
SUB001316,12,4
SUB001317,3,1
SUB001318,10,4
SUB001319,15,3
SUB001320,5,4
SUB001321,8,2
SUB001322,9,2
SUB001323,6,1
SUB001324,8,3
SUB001325,4,1
SUB001326,0,2
SUB001327,10,2
SUB001328,-1,2
SUB001329,0,3
SUB001330,0,3
SUB001331,11,0
SUB001332,2,3
SUB001333,12,0
SUB001334,5,1
SUB001335,0,0
SUB001336,-2,0
SUB001337,0,1
SUB001338,2,2
SUB001339,9,1
SUB001340,19,4
SUB001341,-5,0
SUB001342,2,2
SUB001343,9,1
SUB001344,7,3
SUB001345,1,1
SUB001346,-9,1
SUB001347,0,2
SUB001348,1,2
SUB001349,0,2
SUB001350,11,1
SUB001351,-3,2
SUB001352,1,3
SUB001353,7,1
SUB001354,10,1
SUB001355,10,3
SUB001356,11,2
SUB001357,12,2
SUB001358,8,1
SUB001359,9,1
SUB001360,-3,6
SUB001361,1,2
SUB001362,-9,7
SUB001363,-3,5
SUB001364,-8,5
SUB001365,-5,0
SUB001366,2,0
SUB001367,1,1
SUB001368,4,2
SUB001369,9,3
SUB001370,0,0
SUB001371,0,2
SUB001372,5,0
SUB001373,5,3
SUB001374,2,3
SUB001375,7,1
SUB001376,6,3
SUB001377,0,1
SUB001378,1,1
SUB001379,2,4
SUB001380,11,2
SUB001381,10,4
SUB001382,17,4
SUB001383,7,2
SUB001384,1,4
SUB001385,15,3
SUB001386,3,3
SUB001387,10,0
SUB001388,6,2
